NOME,QUANT,VL,Data,TIPO
BENFOTIAMINA 150 MG,0,"1,50",25/11/2024,MEDICAMENTO
BENRALIZUMABE 30MG/1ML,11,"11464,34",25/11/2024,MEDICAMENTO
BESILATO DE ANLODIPINO 5MG,3990,"0,04",25/11/2024,MEDICAMENTO
BETAGALSIDADE 35MG,16,"12408,04",25/11/2024,MEDICAMENTO
BEVACIZUMABE 25MG/16ML,0,"5482,16",25/11/2024,MEDICAMENTO
BEVACIZUMABE 25MG/4ML,0,"1415,89",25/11/2024,MEDICAMENTO
BEZAFIBRATO 200MG,0,"0,00",25/11/2024,MEDICAMENTO
BISOPROLOL 5MG,0,"0,00",25/11/2024,MEDICAMENTO
"BLINATUMOMABE 38,5MCG",0,"10654,04",25/11/2024,MEDICAMENTO
"BORTEZOMIBE 3,5MG",0,"0,00",25/11/2024,MEDICAMENTO
BOSENTANA 125MG,0,"1,89",25/11/2024,MEDICAMENTO
"BOSENTANA 62,5MG",0,"3,95",25/11/2024,MEDICAMENTO
BRENTUXIMABE 50MG,20,"14419,54",25/11/2024,MEDICAMENTO
BROMAZEPAM 6MG ,0,"0,12",25/11/2024,MEDICAMENTO
"BROMETO DE TIOTROPIO 2,5 MCG + OLODATEROL 2,5 MCG",0,"216,77",25/11/2024,MEDICAMENTO
"BROMETO DE UMEDICLINO 62,5 MG + VILANTEROL 25 MG",0,"82,89",25/11/2024,MEDICAMENTO
BUPROPIONA 150 MG,2610,"0,44",25/11/2024,MEDICAMENTO
"CALCITRIOL 0,25MCG",0,"0,00",25/11/2024,MEDICAMENTO
CANABIDIOL 200MG/ML,0,"2063,46",25/11/2024,MEDICAMENTO
CANAQUINUMABE 150MG,0,"47875,14",25/11/2024,MEDICAMENTO
CARBAMAZEPINA 400MG LIB PROLONGADA,0,"0,00",25/11/2024,MEDICAMENTO
CARBONATO DE CÁLCIO 500 MG + VIT D 400 UI,0,"0,00",25/11/2024,MEDICAMENTO
CARBONATO DE LITIO 300MG,0,"0,36",25/11/2024,MEDICAMENTO
CARFILZOMIBE 60MG,34,"4804,29",25/11/2024,MEDICAMENTO
CEMIPLIMABE 350MG/7ML,10,"32991,76",25/11/2024,MEDICAMENTO
CERTOLIZUMABE PEGOL 200MG/ML,0,"810,97",25/11/2024,MEDICAMENTO
CETOCONAZOL CREME,20,"3,30",25/11/2024,MEDICAMENTO
CETUXIMABE 5MG/ML,0,"0,00",25/11/2024,MEDICAMENTO
CICLOSPORINA 100 MG,0,"3,99",25/11/2024,MEDICAMENTO
CICLOSPORINA 100 MG/ML,0,"239,00",25/11/2024,MEDICAMENTO
CICLOSPORINA 50MG,0,"2,60",25/11/2024,MEDICAMENTO
CINACALCETE 60MG,0,"0,00",25/11/2024,MEDICAMENTO
CIPROTERONA 50MG,900,"3,11",25/11/2024,MEDICAMENTO
CLOBAZAM 10MG,2120,"1,20",25/11/2024,MEDICAMENTO
CLOBAZAM 20MG,0,"1,50",25/11/2024,MEDICAMENTO
"CLONAZEPAM GOTAS 2,5MG/ML",300,"2,46",25/11/2024,MEDICAMENTO
CLONAZEPAM 2 MG,0,"0,05",25/11/2024,MEDICAMENTO
CITRATO DE TOFACITINIBE 5MG,0,"54,54",25/11/2024,MEDICAMENTO
CLOPIDOGREL 75MG,0,"0,32",25/11/2024,MEDICAMENTO
CLORIDRATO DE ALECTINIBE 150MG,0,"93,75",25/11/2024,MEDICAMENTO
CLORIDRATO DE FEXOFENADINA 180MG,90,"1,23",25/11/2024,MEDICAMENTO
CLORIDRATO DE LURASIDONA 80MG,2640,"9,57",25/11/2024,MEDICAMENTO
CLORIDRATO DE NEBIVOLOL 5MG,1470,"0,55",25/11/2024,MEDICAMENTO
CLORIDRATO DE PROMETAZINA 25MG,0,"0,15",25/11/2024,MEDICAMENTO
CLOZAPINA 100MG,0,"0,00",25/11/2024,MEDICAMENTO
"COLAGENASE 0,6U/G",0,"0,00",25/11/2024,MEDICAMENTO
CRIZOTINIBE 250MG,420,"459,98",25/11/2024,MEDICAMENTO
DABIGATRANA 110MG,0,"3,35",25/11/2024,MEDICAMENTO
DABIGATRANA 150MG,0,"3,25",25/11/2024,MEDICAMENTO
DAPAGLIFLOZINA 10MG,5700,"2,27",25/11/2024,MEDICAMENTO
DARATUMUMABE 400MG/20ML,1,"6739,01",25/11/2024,MEDICAMENTO
DARATUMUMABE 1800MG/15ML,0,"17384,16",25/11/2024,MEDICAMENTO
DAROTULAMIDA 300MG,0,"92,15",25/11/2024,MEDICAMENTO
DENOSUMABE 60MG,0,"595,01",25/11/2024,MEDICAMENTO
DENOSUMABE 120MG,7,"1221,47",25/11/2024,MEDICAMENTO
"DESMOPRESSINA 0,1MG/ML",20,"77,00",25/11/2024,MEDICAMENTO
DEUTETRABENAZINA 6 MG,0,"222,11",25/11/2024,MEDICAMENTO
"DEXAMETASONA INJETÁVEL BASTÃO 0,7MG",0,"0,00",25/11/2024,MEDICAMENTO
DIAZEPAM 10MG,0,"0,14",25/11/2024,MEDICAMENTO
DIENOGESTE 2MG,0,"0,00",25/11/2024,MEDICAMENTO
DIMETILA 240MG,0,"40,00",25/11/2024,MEDICAMENTO
DIOSMINA+HESPERIDINA 900MG+100MG,4410,"3,40",25/11/2024,MEDICAMENTO
DIOSMINA+HESPERIDINA 450MG+50MG,0,"0,35",25/11/2024,MEDICAMENTO
DIVALPROATO DE SÓDIO 250MG,0,"0,98",25/11/2024,MEDICAMENTO
DOBESILATO DE CALCIO 500MG,1440,"1,95",25/11/2024,MEDICAMENTO
DULOXETINA 30 MG,0,"1,39",25/11/2024,MEDICAMENTO
DULOXETINA 60 MG,150,"2,27",25/11/2024,MEDICAMENTO
DUPILUMABE 200MG,0,"2784,00",25/11/2024,MEDICAMENTO
DUPILUMABE 300MG,60,"3604,00",25/11/2024,MEDICAMENTO
EBASTINA 10MG,180,"3,64",25/11/2024,MEDICAMENTO
ELTROMBOPAGUE 25MG,2408,"106,00",25/11/2024,MEDICAMENTO
ELTROMBOPAGUE 50MG,0,"0,00",25/11/2024,MEDICAMENTO
EDOXABANA 60MG,0,"2,35",25/11/2024,MEDICAMENTO
"ESCETAMINA 28MG/ 2 JATOS SPRAY NASAL 0,2 ML",120,"83,00",25/11/2024,MEDICAMENTO
EMICIZUMABE 30MG/1ML,0,"9948,78",25/11/2024,MEDICAMENTO
EMPAGLIFLOZINA 25 MG,0,"5,61",25/11/2024,MEDICAMENTO
EMPAGLIFLOZINA+LINAGLIPTINA 100MG+5MG,600,"7,95",25/11/2024,MEDICAMENTO
ENEMA FOSFATO DE SÓDIO,0,"0,00",25/11/2024,MEDICAMENTO
ENOXAPARINA 20MG,0,"11,85",25/11/2024,MEDICAMENTO
ENOXAPARINA 80MG,0,"33,05",25/11/2024,MEDICAMENTO
ENOXAPARINA 40MG,0,"19,80",25/11/2024,MEDICAMENTO
ENOXAPARINA 60 MG,0,"30,42",25/11/2024,MEDICAMENTO
ENZALUTAMIDA 40MG,960,"83,09",25/11/2024,MEDICAMENTO
ERITROPOETINA 10.000UI,0,"58,62",25/11/2024,MEDICAMENTO
ESCITALOPRAM 10MG,3660,"0,04",25/11/2024,MEDICAMENTO
ESOMEPRAZOL MAGNÉSICO 40 MG,0,"1,17",25/11/2024,MEDICAMENTO
ESPIRONOLACTONA 25MG,11130,"0,15",25/11/2024,MEDICAMENTO
ETANERCEPTE 50 MG,24,"439,00",25/11/2024,MEDICAMENTO
EVOLOCUMABE 140 MG/ML,0,"985,96",25/11/2024,MEDICAMENTO
EXEMESTANO 25MG,0,"3,86",25/11/2024,MEDICAMENTO
FAMPIRIDA 10MG ,0,"18,35",25/11/2024,MEDICAMENTO
FENOFIBRATO 200MG,600,"0,65",25/11/2024,MEDICAMENTO
FENOFIBRATO 250MG,1740,"2,98",25/11/2024,MEDICAMENTO
FENITOINA 100MG,4700,"0,10",25/11/2024,MEDICAMENTO
"FINGOLIMODE 0,5MG",1820,"125,00",25/11/2024,MEDICAMENTO
"FLUDROCORTISONA 0,1 MG",0,"1,68",25/11/2024,MEDICAMENTO
FLUTICASONA+SALMOTEROL 500MCG+50MCG ,0,"102,93",25/11/2024,MEDICAMENTO
FLUVOXAMINA 100MG,1890,"1,13",25/11/2024,MEDICAMENTO
FORMOTEROL+ PROPIONATO DE FLUTICASONA 12MCG+250MCG,0,"1,13",25/11/2024,MEDICAMENTO
"FREMANEZUMABE 225MG/1,5ML",0,"1963,67",25/11/2024,MEDICAMENTO
GABAPENTINA 300MG,5510,"0,28",25/11/2024,MEDICAMENTO
GABAPENTINA 400MG,2130,"0,54",25/11/2024,MEDICAMENTO
GALCANEZUMABE 120 MG/ML,0,"2099,80",25/11/2024,MEDICAMENTO
GEFITINIBE 250MG,0,"74,63",25/11/2024,MEDICAMENTO
GLICLAZIDA 30MG,6780,"1,32",25/11/2024,MEDICAMENTO
GLICLAZIDA 60MG,8850,"2,82",25/11/2024,MEDICAMENTO
"GLICOSAMINA+COND.1,5G+1,2G",0,"1,70",25/11/2024,MEDICAMENTO
GLICOPIRRONEO 50MCG,0,"7,54",25/11/2024,MEDICAMENTO
"GOSSERRELINA 10,8MG",4,"889,80",25/11/2024,MEDICAMENTO
"GOSSERRELINA 3,6MG",15,"454,17",25/11/2024,MEDICAMENTO
GUSELCUMABE,26,"9529,98",25/11/2024,MEDICAMENTO
HIDROXICLOROQUINA 400MG,0,"1,22",25/11/2024,MEDICAMENTO
HIDROCLOROTIAZIDA 25MG,0,"0,04",25/11/2024,MEDICAMENTO
HILANO G-F 20,12,"432,39",25/11/2024,MEDICAMENTO
IBANDRONATO DE SODIO 150MG,0,"0,00",25/11/2024,MEDICAMENTO
IBRUTINIBE 140MG,1170,"350,23",25/11/2024,MEDICAMENTO
ILOPROSTA 10 MCG/ML,1500,"29,14",25/11/2024,MEDICAMENTO
IMATINIBE 100 MG,60,"6,39",25/11/2024,MEDICAMENTO
IMATINIBE 400 MG,180,"8,89",25/11/2024,MEDICAMENTO
IMUNOGLOBULINA HUMANA 100MG/ML,101,"1649,00",25/11/2024,MEDICAMENTO
"INDAPAMIDA 1,5MG ",0,"0,15",25/11/2024,MEDICAMENTO
INIBIDOR DE C1 ESTERASE DERIVADO DE O HUMANO,3,"2343,37",25/11/2024,MEDICAMENTO
IPILUMABE 5MG/ML,0,"13968,36",25/11/2024,MEDICAMENTO
INFLIXIMABE 100MG/ML,31,"1154,00",25/11/2024,MEDICAMENTO
IXEQUIZUMABE 80MG/ML,0,"5494,71",25/11/2024,MEDICAMENTO
IVABRADINA 5MG,0,"1,42",25/11/2024,MEDICAMENTO
LACOSAMIDA 150 MG,338,"11,19",25/11/2024,MEDICAMENTO
LACOSAMIDA 100 MG,420,"3,00",25/11/2024,MEDICAMENTO
LACOSAMIDA 50MG,2910,"3,00",25/11/2024,MEDICAMENTO
LAMOTRIGINA  100 MG ( MARCA LAMICTAL),240,"3,21",25/11/2024,MEDICAMENTO
LAMOTRIGINA 100MG,0,"0,21",25/11/2024,MEDICAMENTO
LAMOTRIGINA 25MG,0,"0,00",25/11/2024,MEDICAMENTO
LAMOTRIGINA 50 MG,510,"0,24",25/11/2024,MEDICAMENTO
LANADEDUMABE 150MG/ML,0,"40142,00",25/11/2024,MEDICAMENTO
LENALIDOMIDA 10MG,28,"535,71",25/11/2024,MEDICAMENTO
LENALIDOMIDA 25MG,294,"828,00",25/11/2024,MEDICAMENTO
LENVATINIBE 10MG,540,"276,75",25/11/2024,MEDICAMENTO
LENVATINIBE 4MG ,360,"112,33",25/11/2024,MEDICAMENTO
LEVETIRACETAM 250MG ,0,"2,89",25/11/2024,MEDICAMENTO
LEVETIRACETAM 100MG/ML,30,"73,75",25/11/2024,MEDICAMENTO
LEVETIRACETAM 750MG,1050,"3,80",25/11/2024,MEDICAMENTO
LEVODOPA+BENSERAZIDA 100/25MG,0,"0,80",25/11/2024,MEDICAMENTO
LIDOCAINA 2% GEL,188,"2,36",25/11/2024,MEDICAMENTO
LINAGLIPTINA 5MG,9370,"5,16",25/11/2024,MEDICAMENTO
LIRAGLUTIDA 6MG/ML,0,"178,67",25/11/2024,MEDICAMENTO
LISDEXANFETAMINA 30MG,2100,"10,58",25/11/2024,MEDICAMENTO
LISDEXANFETAMINA 70MG,0,"11,57",25/11/2024,MEDICAMENTO
LOSARTNA POTASSICA ,270,"0,08",25/11/2024,MEDICAMENTO
MALEATO DE ENALAPRIL 5MG,4530,"0,12",25/11/2024,MEDICAMENTO
MALEATO DE ENALAPRIL 10MG,3340,"0,15",25/11/2024,MEDICAMENTO
MEMANTINA 10MG,1740,"0,24",25/11/2024,MEDICAMENTO
MEPOLIZUMABE 100MG CANETA ,3,"1776,29",25/11/2024,MEDICAMENTO
MESALAZINA 1200 MG,0,"7,56",25/11/2024,MEDICAMENTO
MESALAZINA 400MG,1470,"0,72",25/11/2024,MEDICAMENTO
MESALAZINA 500MG,1500,"1,61",25/11/2024,MEDICAMENTO
MESALAZINA 800MG,2010,"0,71",25/11/2024,MEDICAMENTO
METILFENDATO 20 MG LA ,0,"5,87",25/11/2024,MEDICAMENTO
METILFENIDRATO 40 MG LA,0,"8,34",25/11/2024,MEDICAMENTO
METILFENIDRATO 36MG,690,"7,76",25/11/2024,MEDICAMENTO
MICOFELONATO DE MOFETILA 500MG,5720,"1,14",25/11/2024,MEDICAMENTO
MICOFELONATO DE SÓDIO 360MG,0,"4,72",25/11/2024,MEDICAMENTO
MIGLUSTATE 100MG,0,"136,85",25/11/2024,MEDICAMENTO
MODAFINILA 200 MG,0,"6,10",25/11/2024,MEDICAMENTO
NATALIZUMABE 300MG/15ML,6,"4365,74",25/11/2024,MEDICAMENTO
NINTEDANIBE 150MG,2580,"247,02",25/11/2024,MEDICAMENTO
NITRAZEPAM 5MG,1060,"0,17",25/11/2024,MEDICAMENTO
"NUSINERSENA 2,4MG",0,"297242,83",25/11/2024,MEDICAMENTO
OCRELIZUMABE 300MG/10ML,0,"31154,86",25/11/2024,MEDICAMENTO
"OFATUMUMABE 20MG/0,4ML",12,"9399,87",25/11/2024,MEDICAMENTO
OLAPARIBE 150MG,1456,"205,71",25/11/2024,MEDICAMENTO
OLANZAPINA 10MG,0,"0,70",25/11/2024,MEDICAMENTO
OMALIZUMABE 150MG,11,"1878,11",25/11/2024,MEDICAMENTO
OSIMERTINBE 80MG,480,"0,00",25/11/2024,MEDICAMENTO
OMALIZUMABE 150MG SERINGA 1ML,0,"1878,11",25/11/2024,MEDICAMENTO
OXCARBAZEPINA 600MG,0,"1,39",25/11/2024,MEDICAMENTO
OXCARBAZEPINA 300MG,3480,"0,87",25/11/2024,MEDICAMENTO
OXIBUTININA 5MG,0,"1,29",25/11/2024,MEDICAMENTO
OXIBUTININA 120ML,0,"47,21",25/11/2024,MEDICAMENTO
PALBOCICLIBE 125MG,0,"582,58",25/11/2024,MEDICAMENTO
PANCREATINA 10.000,1050,"4,98",25/11/2024,MEDICAMENTO
PANCREATINA 25.000,4900,"2,61",25/11/2024,MEDICAMENTO
PONATINIBE 15MG,450,"593,33",25/11/2024,MEDICAMENTO
PALIPERIDONA 75MG,34,"1176,00",25/11/2024,MEDICAMENTO
PALIPERIDONA 100 MG/ML,0,"1278,04",25/11/2024,MEDICAMENTO
PALIPERIDONA 150 MG/ML,9,"1481,40",25/11/2024,MEDICAMENTO
PALIPERIDONA 3MG,0,"10,31",25/11/2024,MEDICAMENTO
PALIPERIDONA 6MG,0,"15,52",25/11/2024,MEDICAMENTO
PALIVIZUMABE 100MGML ,0,"2842,33",25/11/2024,MEDICAMENTO
PAROXETINA 10MG,320,"1,00",25/11/2024,MEDICAMENTO
PAROXETINA 20MG,0,"0,29",25/11/2024,MEDICAMENTO
PAZOPANIBE 400 MG,1020,"122,19",25/11/2024,MEDICAMENTO
PEGVISOMANTO 10MG,0,"263,39",25/11/2024,MEDICAMENTO
PIRFENIDONA 267MG,10800,"29,30",25/11/2024,MEDICAMENTO
PLERIXAFOR 20MG/ML,0,"11047,61",25/11/2024,MEDICAMENTO
PRAMIPEXOL 1MG,0,"0,91",25/11/2024,MEDICAMENTO
"PRAMIPEXOL 1,5 MG SR",0,"4,00",25/11/2024,MEDICAMENTO
PREGABALINA 50 MG,2490,"0,63",25/11/2024,MEDICAMENTO
PREGABALINA 75MG ,5260,"0,38",25/11/2024,MEDICAMENTO
PREGABALINA 100 MG,1230,"0,81",25/11/2024,MEDICAMENTO
PREGABALINA 150MG,600,"1,25",25/11/2024,MEDICAMENTO
PEMBROLIZUMABE ,0,"15777,00",25/11/2024,MEDICAMENTO
PROMESTRIENO 10MG/G,20,"40,26",25/11/2024,MEDICAMENTO
PROPAFENONA 300MG,0,"0,51",25/11/2024,MEDICAMENTO
PROPRANOLOL 40MG,5760,"0,06",25/11/2024,MEDICAMENTO
PROPILTIOURACILA 100MG,0,"0,00",25/11/2024,MEDICAMENTO
QUETIAPINA 300MG XRO,2100,"5,29",25/11/2024,MEDICAMENTO
QUETIAPINA 100MG,840,"0,52",25/11/2024,MEDICAMENTO
QUETIAPINA 200MG,390,"2,36",25/11/2024,MEDICAMENTO
RANIBIZUMABE ,0,"2250,00",25/11/2024,MEDICAMENTO
"RIOCIGUATE 0,5MG",0,"179,95",25/11/2024,MEDICAMENTO
"RIOCIGUATE 1,0MG",0,"179,95",25/11/2024,MEDICAMENTO
"RIOCIGUATE 1,5MG",0,"179,95",25/11/2024,MEDICAMENTO
"RIOCIGUATE 2,0MG",0,"179,95",25/11/2024,MEDICAMENTO
"RIOCIGUATE 2,5MG",0,"179,95",25/11/2024,MEDICAMENTO
"RIZANQUIZUMABE 75MG/0,83ML",14,"8750,00",25/11/2024,MEDICAMENTO
"RISDIPLAM 0,75 MG/ML",14,"53224,13",25/11/2024,MEDICAMENTO
RISPERIDONA1MG/ML,0,"0,00",25/11/2024,MEDICAMENTO
RISPERIDONA 1MG,0,"0,10",25/11/2024,MEDICAMENTO
RISPERIDONA 2MG,180,"0,09",25/11/2024,MEDICAMENTO
RITUXIMABE 100MG/10ML,54,"608,28",25/11/2024,MEDICAMENTO
RITUXIMABE 500MG/50ML,31,"1047,00",25/11/2024,MEDICAMENTO
RIVAROXABANA 10MG,0,"5,97",25/11/2024,MEDICAMENTO
RIVAROXABANA 15MG,0,"0,73",25/11/2024,MEDICAMENTO
RIVAROXABANA 20MG,8370,"0,54",25/11/2024,MEDICAMENTO
ROMOSOZUMABE 90MG/ML,0,"1514,45",25/11/2024,MEDICAMENTO
ROSUVASTATINA 10 MG,0,"0,18",25/11/2024,MEDICAMENTO
RISANQUIZUMABE 75MG,14,"12000,00",25/11/2024,MEDICAMENTO
RUXOLITINIBE 5MG,0,"179,61",25/11/2024,MEDICAMENTO
RUXOLITINIBE 10MG,0,"236,02",25/11/2024,MEDICAMENTO
RUXOLITINIBE 20MG,0,"323,79",25/11/2024,MEDICAMENTO
SACUBITRIL+VALSARATANA 50MG,0,"3,48",25/11/2024,MEDICAMENTO
SACUBITRIL+VALSARATANA 100MG,0,"3,48",25/11/2024,MEDICAMENTO
SACUBITRIL+VALSARTANA 200MG,2160,"3,48",25/11/2024,MEDICAMENTO
SECUQUINUMABE 150 MG/ML,49,"3506,00",25/11/2024,MEDICAMENTO
SELEGILINA 5MG ,0,"0,00",25/11/2024,MEDICAMENTO
SELEXIPAGUE 200MCG,0,"152,52",25/11/2024,MEDICAMENTO
"SEMAGLUTIDA  1,5 ML",43,"550,00",25/11/2024,MEDICAMENTO
SEMAGLUTIDA  3 ML,30,"697,00",25/11/2024,MEDICAMENTO
SERTRALINA 50MG,0,"0,21",25/11/2024,MEDICAMENTO
SERTRALINA 100MG,2790,"0,45",25/11/2024,MEDICAMENTO
SITAGLIPTINA 100MG,2408,"4,62",25/11/2024,MEDICAMENTO
SILDENAFIL 25MG,0,"0,35",25/11/2024,MEDICAMENTO
"SOMATROPINA 10MG/1,5ML",0,"1210,00",25/11/2024,MEDICAMENTO
SOMATROPINA 12UI,0,"87,84",25/11/2024,MEDICAMENTO
SOMATROPINA 36UI/12MG CANETA,0,"824,50",25/11/2024,MEDICAMENTO
SUCCINATO DE METROPOLOL 25MG,0,"1,89",25/11/2024,MEDICAMENTO
SUCCINATO DE METROPOLOL 50MG,750,"2,01",25/11/2024,MEDICAMENTO
SOMATROPINA 4UI,0,"22,64",25/11/2024,MEDICAMENTO
SUCCINATO DE DESVENLAFAXINA 50MG,2700,"0,00",25/11/2024,MEDICAMENTO
SULFASSALAZINA 500MG,0,"0,87",25/11/2024,MEDICAMENTO
SUNITINIBE 50MG,0,"570,86",25/11/2024,MEDICAMENTO
TAFAMIDES 20MG,0,"601,73",25/11/2024,MEDICAMENTO
"TANSULOSINA 0,4MG",0,"0,00",25/11/2024,MEDICAMENTO
TERIFLUNOMIDA 14MG,0,"0,00",25/11/2024,MEDICAMENTO
TERIPARATIDA 250 MCG/ML,17,"2670,38",25/11/2024,MEDICAMENTO
TIAMINA 300 MG,1680,"0,26",25/11/2024,MEDICAMENTO
TIMOMODULINA 20MG/5ML,30,"3,98",25/11/2024,MEDICAMENTO
"TIOTROPIO SOLUÇÃO 2,5MCG",227,"216,32",25/11/2024,MEDICAMENTO
TIZANIDINA 2MG,570,"2,00",25/11/2024,MEDICAMENTO
TOSIILATO DE SORAFENIBE 200MG,280,"97,40",25/11/2024,MEDICAMENTO
TOSILATO DE NIRAPARIBE 100MG,280,"324,67",25/11/2024,MEDICAMENTO
TOPIRAMATO 100MG,5925,"1,23",25/11/2024,MEDICAMENTO
TOPIRAMATO 25MG,4170,"0,80",25/11/2024,MEDICAMENTO
TOPIRAMATO 50MG,0,"0,20",25/11/2024,MEDICAMENTO
"TOCILIZUMABE 162MG/0,9ML",68,"1175,73",25/11/2024,MEDICAMENTO
TRETINOINA 10MG,0,"0,00",25/11/2024,MEDICAMENTO
TRIENTINA 250MG,800,"198,67",25/11/2024,MEDICAMENTO
TRIMETAZIDINA 35MG,0,"1,27",25/11/2024,MEDICAMENTO
USTEQUINUMABE 130MG,0,"34443,89",25/11/2024,MEDICAMENTO
USTEQUINUMABE 45MML,24,"9654,64",25/11/2024,MEDICAMENTO
USTEQUINUMABE 90MG/ML,0,"0,00",25/11/2024,MEDICAMENTO
UPADACITINIBE 15MG,540,"69,00",25/11/2024,MEDICAMENTO
VALGANCICLOVIR 450MG,0,"101,09",25/11/2024,MEDICAMENTO
VALPROATO DE SODIO 500MG,6150,"0,55",25/11/2024,MEDICAMENTO
VALSARTANA 320MG+ANLOD.10MG,0,"0,00",25/11/2024,MEDICAMENTO
VEDOLIZUMABE 300MG,12,"14336,75",25/11/2024,MEDICAMENTO
VEMURAFENIBE 240 MG,0,"132,65",25/11/2024,MEDICAMENTO
VENETOCLAX 100MG,0,"0,00",25/11/2024,MEDICAMENTO
VILDAGLIPTINA50MG+METF.850MG,3024,"3,21",25/11/2024,MEDICAMENTO
VILDAGLIPTINA 50MG,1400,"1,51",25/11/2024,MEDICAMENTO
VISMODEGIBE 150MG,0,"819,44",25/11/2024,MEDICAMENTO
VORICONAZOL 200MG,714,"17,01",25/11/2024,MEDICAMENTO
VORTIOXETINA 10 MG,1380,"10,01",25/11/2024,MEDICAMENTO
BIMATOPROSTA,35,"77,32",25/11/2024,COLIRIOS
BRINZOLAMIDA  1%,0,"45,18",25/11/2024,COLIRIOS
"BRIMONIDINA+TIMOLOL 2%+,05%",22,"68,01",25/11/2024,COLIRIOS
DORZOLAMIDA 2%,0,"11,06",25/11/2024,COLIRIOS
"DORZOLAMIDA 2% + TIMOLOL 0,5%",0,"22,00",25/11/2024,COLIRIOS
"HIALURONATO DE SODIO 0,15%",0,"58,00",25/11/2024,COLIRIOS
LATANOPROSTA 50 MCG/ML + TIMOLOL,0,"28,80",25/11/2024,COLIRIOS
LATANOPROSTA 50MCG/ML,92,"15,50",25/11/2024,COLIRIOS
"TRAVOPROST 0,04MG/ML+TIMOLOL",0,"0,00",25/11/2024,COLIRIOS
INSULINA ASPART FRASCO,0,"81,82",25/11/2024,INSULINAS
